"","name","type","county","pop2020","pop2010","pop_change","mi2","km2","density","date"
"107","Davis","City","Yolo",66850,"65,622","+1.9%","9.97","25.8","6,705.1/sq mi (2,588.9/km2)",1917-03-28
"108","Del Mar","City","San Diego",3954,"4,161","−5.0%","1.72","4.5","2,298.8/sq mi (887.6/km2)",1959-07-15
"109","Del Rey Oaks","City","Monterey",1592,"1,624","−2.0%","1.05","2.7","1,516.2/sq mi (585.4/km2)",1953-09-03
"110","Delano","City","Kern",51428,"53,041","−3.0%","14.72","38.1","3,493.8/sq mi (1,348.9/km2)",1915-04-13
"111","Desert Hot Springs","City","Riverside",32512,"25,938","+25.3%","30.27","78.4","1,074.1/sq mi (414.7/km2)",1963-09-25
"112","Diamond Bar","City","Los Angeles",55072,"55,544","−0.8%","14.87","38.5","3,703.6/sq mi (1,430.0/km2)",1989-04-18
"113","Dinuba","City","Tulare",24563,"21,453","+14.5%","6.51","16.9","3,773.1/sq mi (1,456.8/km2)",1906-01-06
"114","Dixon","City","Solano",18988,"18,351","+3.5%","7.10","18.4","2,674.4/sq mi (1,032.6/km2)",1878-03-30
"115","Dorris","City","Siskiyou",860,"939","−8.4%","0.70","1.8","1,228.6/sq mi (474.4/km2)",1908-12-23
"116","Dos Palos","City","Merced",5798,"4,950","+17.1%","1.35","3.5","4,294.8/sq mi (1,658.2/km2)",1935-05-24
"117","Downey","City","Los Angeles",114355,"111,772","+2.3%","12.41","32.1","9,214.7/sq mi (3,557.8/km2)",1956-12-17
"118","Duarte","City","Los Angeles",21727,"21,321","+1.9%","6.71","17.4","3,238.0/sq mi (1,250.2/km2)",1957-08-22
"119","Dublin","City","Alameda",72589,"46,036","+57.7%","15.23","39.4","4,766.2/sq mi (1,840.2/km2)",1982-02-01
"120","Dunsmuir","City","Siskiyou",1707,"1,650","+3.5%","1.60","4.1","1,066.9/sq mi (411.9/km2)",1909-08-07
"121","East Palo Alto","City","San Mateo",30034,"28,155","+6.7%","2.53","6.6","11,871.1/sq mi (4,583.5/km2)",1983-07-01
"122","Eastvale","City","Riverside[11]",69757,"53,670","+30.0%","12.67","32.8[11]","5,505.7/sq mi (2,125.8/km2)",2010-10-01
"123","El Cajon","City","San Diego",106215,"99,478","+6.8%","14.51","37.6","7,320.1/sq mi (2,826.3/km2)",1912-11-12
"124","El Centro†","City","Imperial",44322,"42,598","+4.0%","11.84","30.7","3,743.4/sq mi (1,445.3/km2)",1908-04-16
"125","El Cerrito","City","Contra Costa",25962,"23,549","+10.2%","3.67","9.5","7,074.1/sq mi (2,731.3/km2)",1917-08-23
"126","El Monte","City","Los Angeles",109450,"113,475","−3.5%","9.56","24.8","11,448.7/sq mi (4,420.4/km2)",1912-11-18
"127","El Segundo","City","Los Angeles",17272,"16,654","+3.7%","5.46","14.1","3,163.4/sq mi (1,221.4/km2)",1917-01-18
"128","Elk Grove","City","Sacramento",176124,"153,015","+15.1%","41.99","108.8","4,194.4/sq mi (1,619.5/km2)",2000-07-01
"129","Emeryville","City","Alameda",12905,"10,080","+28.0%","1.27","3.3","10,161.4/sq mi (3,923.3/km2)",1896-12-08
"130","Encinitas","City","San Diego",62007,"59,518","+4.2%","19.06","49.4","3,253.3/sq mi (1,256.1/km2)",1986-10-01
"131","Escalon","City","San Joaquin",7472,"7,132","+4.8%","2.28","5.9","3,277.2/sq mi (1,265.3/km2)",1957-03-12
"132","Escondido","City","San Diego",151038,"143,911","+5.0%","37.35","96.7","4,043.9/sq mi (1,561.3/km2)",1888-10-08
"133","Etna","City","Siskiyou",678,"737","−8.0%","0.76","2.0","892.1/sq mi (344.4/km2)",1878-03-13
"134","Eureka†","City","Humboldt",26512,"27,191","−2.5%","9.54","24.7","2,779.0/sq mi (1,073.0/km2)",1856-04-18
"135","Exeter","City","Tulare",10321,"10,334","−0.1%","2.46","6.4","4,195.5/sq mi (1,619.9/km2)",1911-03-02
"136","Fairfax","Town","Marin",7605,"7,441","+2.2%","2.23","5.8","3,410.3/sq mi (1,316.7/km2)",1931-03-02
"137","Fairfield†","City","Solano",119881,"105,321","+13.8%","41.59","107.7","2,882.4/sq mi (1,112.9/km2)",1903-12-12
"138","Farmersville","City","Tulare",10397,"10,588","−1.8%","2.20","5.7","4,725.9/sq mi (1,824.7/km2)",1960-10-05
"139","Ferndale","City","Humboldt",1398,"1,371","+2.0%","1.20","3.1","1,165.0/sq mi (449.8/km2)",1893-08-28
"140","Fillmore","City","Ventura",16419,"15,002","+9.4%","3.30","8.5","4,975.5/sq mi (1,921.0/km2)",1914-07-10
"141","Firebaugh","City","Fresno",8096,"7,549","+7.2%","3.52","9.1","2,300.0/sq mi (888.0/km2)",1914-09-17
"142","Folsom","City","Sacramento",80454,"72,203","+11.4%","27.88","72.2","2,885.7/sq mi (1,114.2/km2)",1946-04-20
"143","Fontana","City","San Bernardino",208393,"196,069","+6.3%","43.07","111.6","4,838.5/sq mi (1,868.1/km2)",1952-06-25
"144","Fort Bragg","City","Mendocino",6983,"7,273","−4.0%","2.90","7.5","2,407.9/sq mi (929.7/km2)",1889-08-05
"145","Fort Jones","City","Siskiyou",695,"839","−17.2%","0.60","1.6","1,158.3/sq mi (447.2/km2)",1872-03-16
"146","Fortuna","City","Humboldt",12516,"11,926","+4.9%","5.25","13.6","2,384.0/sq mi (920.5/km2)",1906-01-20
"147","Foster City","City","San Mateo",33805,"30,567","+10.6%","3.79","9.8","8,919.5/sq mi (3,443.8/km2)",1971-04-27
"148","Fountain Valley","City","Orange",57047,"55,313","+3.1%","9.07","23.5","6,289.6/sq mi (2,428.4/km2)",1957-06-13
"149","Fowler","City","Fresno",6700,"5,570","+20.3%","2.53","6.6","2,648.2/sq mi (1,022.5/km2)",1908-06-15
"150","Fremont","City","Alameda",230504,"214,089","+7.7%","78.31","202.8","2,943.5/sq mi (1,136.5/km2)",1956-01-23
"151","Fresno†","City","Fresno",542107,"494,665","+9.6%","115.18","298.3","4,706.6/sq mi (1,817.2/km2)",1885-10-12
"152","Fullerton","City","Orange",143617,"135,161","+6.3%","22.42","58.1","6,405.8/sq mi (2,473.3/km2)",1904-02-15
"153","Galt","City","Sacramento",25383,"23,647","+7.3%","7.15","18.5","3,550.1/sq mi (1,370.7/km2)",1946-08-16
"154","Garden Grove","City","Orange",171949,"170,883","+0.6%","17.96","46.5","9,574.0/sq mi (3,696.5/km2)",1956-06-18
"155","Gardena","City","Los Angeles",61027,"58,829","+3.7%","5.83","15.1","10,467.8/sq mi (4,041.6/km2)",1930-09-11
"156","Gilroy","City","Santa Clara",59520,"48,821","+21.9%","16.54","42.8","3,598.5/sq mi (1,389.4/km2)",1870-03-12
"157","Glendale","City","Los Angeles",196543,"191,719","+2.5%","30.48","78.9","6,448.3/sq mi (2,489.7/km2)",1906-02-15
"158","Glendora","City","Los Angeles",52558,"50,073","+5.0%","19.51","50.5","2,693.9/sq mi (1,040.1/km2)",1911-11-13
"159","Goleta","City","Santa Barbara",32690,"29,888","+9.4%","7.85","20.3","4,164.3/sq mi (1,607.9/km2)",2002-02-01
"160","Gonzales","City","Monterey",8647,"8,187","+5.6%","1.91","4.9","4,527.2/sq mi (1,748.0/km2)",1947-01-14
"161","Grand Terrace","City","San Bernardino",13150,"12,040","+9.2%","3.50","9.1","3,757.1/sq mi (1,450.6/km2)",1978-11-30
"162","Grass Valley","City","Nevada",14016,"12,860","+9.0%","5.25","13.6","2,669.7/sq mi (1,030.8/km2)",1893-03-13
"163","Greenfield","City","Monterey",18937,"16,330","+16.0%","2.91","7.5","6,507.6/sq mi (2,512.6/km2)",1947-01-07
"164","Gridley","City","Butte",7421,"6,584","+12.7%","2.09","5.4","3,550.7/sq mi (1,370.9/km2)",1905-11-23
"165","Grover Beach","City","San Luis Obispo",12701,"13,156","−3.5%","2.31","6.0","5,498.3/sq mi (2,122.9/km2)",1959-12-21
"166","Guadalupe","City","Santa Barbara",8057,"7,080","+13.8%","1.31","3.4","6,150.4/sq mi (2,374.7/km2)",1946-08-03
"167","Gustine","City","Merced",6110,"5,520","+10.7%","1.55","4.0","3,941.9/sq mi (1,522.0/km2)",1915-11-11
"168","Half Moon Bay","City","San Mateo",11795,"11,324","+4.2%","6.24","16.2","1,890.2/sq mi (729.8/km2)",1959-07-15
"169","Hanford†","City","Kings",57990,"53,967","+7.5%","17.40","45.1","3,332.8/sq mi (1,286.8/km2)",1891-08-12
"170","Hawaiian Gardens","City","Los Angeles",14149,"14,254","−0.7%","0.95","2.5","14,893.7/sq mi (5,750.5/km2)",1964-04-09
"171","Hawthorne","City","Los Angeles",88083,"84,293","+4.5%","6.09","15.8","14,463.5/sq mi (5,584.4/km2)",1922-07-12
"172","Hayward","City","Alameda",162954,"144,186","+13.0%","45.82","118.7","3,556.4/sq mi (1,373.1/km2)",1876-03-11
"173","Healdsburg","City","Sonoma",11340,"11,254","+0.8%","4.42","11.4","2,565.6/sq mi (990.6/km2)",1867-02-20
"174","Hemet","City","Riverside",89833,"78,657","+14.2%","29.28","75.8","3,068.1/sq mi (1,184.6/km2)",1910-01-20
"175","Hercules","City","Contra Costa",26016,"24,060","+8.1%","6.41","16.6","4,058.7/sq mi (1,567.1/km2)",1900-12-15
"176","Hermosa Beach","City","Los Angeles",19728,"19,506","+1.1%","1.43","3.7","13,795.8/sq mi (5,326.6/km2)",1907-01-14
"177","Hesperia","City","San Bernardino",99818,"90,173","+10.7%","72.68","188.2","1,373.4/sq mi (530.3/km2)",1988-07-01
"178","Hidden Hills","City","Los Angeles",1725,"1,856","−7.1%","1.69","4.4","1,020.7/sq mi (394.1/km2)",1961-01-19
"179","Highland","City","San Bernardino",56999,"53,104","+7.3%","18.57","48.1","3,069.4/sq mi (1,185.1/km2)",1987-11-24
"180","Hillsborough","Town","San Mateo",11387,"10,825","+5.2%","6.17","16.0","1,845.5/sq mi (712.6/km2)",1910-05-05
"181","Hollister†","City","San Benito",41678,"34,928","+19.3%","7.96","20.6","5,235.9/sq mi (2,021.6/km2)",1872-03-26
"182","Holtville","City","Imperial",5605,"5,939","−5.6%","1.15","3.0","4,873.9/sq mi (1,881.8/km2)",1908-07-01
"183","Hughson","City","Stanislaus",7481,"6,640","+12.7%","1.91","4.9","3,916.8/sq mi (1,512.3/km2)",1972-12-09
"184","Huntington Beach","City","Orange",198711,"189,992","+4.6%","27.00","69.9","7,359.7/sq mi (2,841.6/km2)",1909-02-17
"185","Huntington Park","City","Los Angeles",54883,"58,114","−5.6%","3.01","7.8","18,233.6/sq mi (7,040.0/km2)",1906-09-01
"186","Huron","City","Fresno",6206,"6,754","−8.1%","1.60","4.1","3,878.8/sq mi (1,497.6/km2)",1951-05-03
"187","Imperial","City","Imperial",20263,"14,758","+37.3%","6.29","16.3","3,221.5/sq mi (1,243.8/km2)",1904-07-12
"188","Imperial Beach","City","San Diego",26137,"26,324","−0.7%","4.29","11.1","6,092.5/sq mi (2,352.3/km2)",1956-07-18
"189","Indian Wells","City","Riverside",4757,"4,958","−4.1%","14.32","37.1","332.2/sq mi (128.3/km2)",1967-07-14
"190","Indio","City","Riverside",89137,"76,036","+17.2%","33.23","86.1","2,682.4/sq mi (1,035.7/km2)",1930-05-16
"191","City of Industry","City","Los Angeles",264,"219","+20.5%","11.78","30.5","22.4/sq mi (8.7/km2)",1957-06-18
"192","Inglewood","City","Los Angeles",107762,"109,673","−1.7%","9.07","23.5","11,881.1/sq mi (4,587.3/km2)",1908-02-07
"193","Ione","City","Amador",5141,"7,918","−35.1%","4.58","11.9","1,122.5/sq mi (433.4/km2)",1953-03-23
"194","Irvine","City","Orange",307670,"212,375","+44.9%","65.61","169.9","4,689.4/sq mi (1,810.6/km2)",1971-12-28
"195","Irwindale","City","Los Angeles",1472,"1,422","+3.5%","8.83","22.9","166.7/sq mi (64.4/km2)",1957-08-06
"196","Isleton","City","Sacramento",794,"804","−1.2%","0.44","1.1","1,804.5/sq mi (696.7/km2)",1923-05-14
"197","Jackson†","City","Amador",5019,"4,651","+7.9%","3.58","9.3","1,402.0/sq mi (541.3/km2)",1905-12-05
"198","Jurupa Valley","City","Riverside[12]",105053,"95,004","+10.6%","42.94","111.2[12]","2,446.5/sq mi (944.6/km2)",2011-07-01
"199","Kerman","City","Fresno",16016,"13,544","+18.3%","3.27","8.5","4,897.9/sq mi (1,891.1/km2)",1946-07-02
"200","King City","City","Monterey",13332,"12,874","+3.6%","3.80","9.8","3,508.4/sq mi (1,354.6/km2)",1911-02-09
"201","Kingsburg","City","Fresno",12380,"11,382","+8.8%","3.72","9.6","3,328.0/sq mi (1,284.9/km2)",1908-05-29
"202","La Cañada Flintridge","City","Los Angeles",20573,"20,246","+1.6%","8.63","22.4","2,383.9/sq mi (920.4/km2)",1976-11-30
"203","La Habra","City","Orange",63097,"60,239","+4.7%","7.56","19.6","8,346.2/sq mi (3,222.5/km2)",1925-01-20
"204","La Habra Heights","City","Los Angeles",5682,"5,325","+6.7%","6.16","16.0","922.4/sq mi (356.1/km2)",1978-12-04
"205","La Mesa","City","San Diego",61121,"57,065","+7.1%","9.09","23.5","6,724.0/sq mi (2,596.1/km2)",1912-02-16
"206","La Mirada","City","Los Angeles",48008,"48,527","−1.1%","7.82","20.3","6,139.1/sq mi (2,370.3/km2)",1960-03-23
"207","La Palma","City","Orange",15581,"15,568","+0.1%","1.78","4.6","8,753.4/sq mi (3,379.7/km2)",1955-10-26
"208","La Puente","City","Los Angeles",38062,"39,816","−4.4%","3.48","9.0","10,937.4/sq mi (4,222.9/km2)",1956-08-01
"209","La Quinta","City","Riverside",37558,"37,467","+0.2%","35.26","91.3","1,065.2/sq mi (411.3/km2)",1982-05-01
"210","La Verne","City","Los Angeles",31334,"31,063","+0.9%","8.42","21.8","3,721.4/sq mi (1,436.8/km2)",1906-08-20
"211","Lafayette","City","Contra Costa",25391,"23,893","+6.3%","15.02","38.9","1,690.5/sq mi (652.7/km2)",1968-07-29
"212","Laguna Beach","City","Orange",23032,"22,723","+1.4%","8.89","23.0","2,590.8/sq mi (1,000.3/km2)",1927-06-29
"213","Laguna Hills","City","Orange",31374,"30,344","+3.4%","6.55","17.0","4,789.9/sq mi (1,849.4/km2)",1991-12-20
"214","Laguna Niguel","City","Orange",64355,"62,979","+2.2%","14.74","38.2","4,366.0/sq mi (1,685.7/km2)",1989-12-01
"215","Laguna Woods","City","Orange",17644,"16,192","+9.0%","3.34","8.7","5,282.6/sq mi (2,039.6/km2)",1999-03-24
"216","Lake Elsinore","City","Riverside",70265,"51,821","+35.6%","38.24","99.0","1,837.5/sq mi (709.5/km2)",1888-04-09
"217","Lake Forest","City","Orange",85858,"77,264","+11.1%","16.71","43.3","5,138.1/sq mi (1,983.8/km2)",1991-12-20
"218","Lakeport†","City","Lake",5026,"4,753","+5.7%","3.06","7.9","1,642.5/sq mi (634.2/km2)",1888-04-30
"219","Lakewood","City","Los Angeles",82496,"80,048","+3.1%","9.40","24.3","8,776.2/sq mi (3,388.5/km2)",1954-04-16
"220","Lancaster","City","Los Angeles",173516,"156,633","+10.8%","94.27","244.2","1,840.6/sq mi (710.7/km2)",1977-11-22
"221","Larkspur","City","Marin",13064,"11,926","+9.5%","3.00","7.8","4,354.7/sq mi (1,681.3/km2)",1908-03-01
"222","Lathrop","City","San Joaquin",28701,"18,023","+59.2%","19.83","51.4","1,447.4/sq mi (558.8/km2)",1989-07-01
"223","Lawndale","City","Los Angeles",31807,"32,769","−2.9%","1.97","5.1","16,145.7/sq mi (6,233.9/km2)",1959-12-28
"224","Lemon Grove","City","San Diego",27627,"25,320","+9.1%","3.88","10.0","7,120.4/sq mi (2,749.2/km2)",1977-07-01
"225","Lemoore","City","Kings",27038,"24,531","+10.2%","8.81","22.8","3,069.0/sq mi (1,185.0/km2)",1900-07-04
"226","Lincoln","City","Placer",49757,"42,819","+16.2%","24.17","62.6","2,058.6/sq mi (794.8/km2)",1890-08-07
"227","Lindsay","City","Tulare",12659,"11,768","+7.6%","2.72","7.0","4,654.0/sq mi (1,796.9/km2)",1910-02-28
"228","Live Oak","City","Sutter",9106,"8,392","+8.5%","3.12","8.1","2,918.6/sq mi (1,126.9/km2)",1947-01-22
"229","Livermore","City","Alameda",87955,"80,968","+8.6%","26.45","68.5","3,325.3/sq mi (1,283.9/km2)",1876-04-01
"230","Livingston","City","Merced",14172,"13,058","+8.5%","3.68","9.5","3,851.1/sq mi (1,486.9/km2)",1922-09-11
"231","Lodi","City","San Joaquin",66348,"62,134","+6.8%","13.64","35.3","4,864.2/sq mi (1,878.1/km2)",1906-12-06
"232","Loma Linda","City","San Bernardino",24791,"23,261","+6.6%","7.64","19.8","3,244.9/sq mi (1,252.9/km2)",1970-09-29
"233","Lomita","City","Los Angeles",20921,"20,256","+3.3%","1.91","4.9","10,953.4/sq mi (4,229.1/km2)",1964-06-30
"234","Lompoc","City","Santa Barbara",44444,"42,434","+4.7%","11.62","30.1","3,824.8/sq mi (1,476.8/km2)",1888-08-13
"235","Long Beach","City","Los Angeles",466742,"462,257","+1.0%","50.71","131.3","9,204.1/sq mi (3,553.7/km2)",1897-12-13
"236","Loomis","Town","Placer",6836,"6,430","+6.3%","7.27","18.8","940.3/sq mi (363.1/km2)",1984-12-17
"237","Los Alamitos","City","Orange",11780,"11,449","+2.9%","4.01","10.4","2,937.7/sq mi (1,134.2/km2)",1960-03-01
"238","Los Altos","City","Santa Clara",31625,"28,976","+9.1%","6.54","16.9","4,835.6/sq mi (1,867.0/km2)",1952-12-01
"239","Los Altos Hills","Town","Santa Clara",8489,"7,922","+7.2%","9.03","23.4","940.1/sq mi (363.0/km2)",1956-01-27
"240","Los Angeles†","City","Los Angeles",3898747,"3,792,621","+2.8%","469.49","1,216.0","8,304.2/sq mi (3,206.3/km2)",1850-04-04
"241","Los Banos","City","Merced",45532,"35,972","+26.6%","9.99","25.9","4,557.8/sq mi (1,759.8/km2)",1907-05-08
"242","Los Gatos","Town","Santa Clara",33529,"29,413","+14.0%","11.55","29.9","2,902.9/sq mi (1,120.8/km2)",1887-08-10
"243","Loyalton","City","Sierra",740,"769","−3.8%","0.36","0.93","2,055.6/sq mi (793.7/km2)",1901-07-21
"244","Lynwood","City","Los Angeles",67265,"69,772","−3.6%","4.84","12.5","13,897.7/sq mi (5,365.9/km2)",1921-07-21
"245","Madera†","City","Madera",66224,"61,416","+7.8%","16.48","42.7","4,018.4/sq mi (1,551.5/km2)",1907-03-27
"246","Malibu","City","Los Angeles",10654,"12,645","−15.7%","19.85","51.4","536.7/sq mi (207.2/km2)",1991-03-28
"247","Mammoth Lakes","Town","Mono",7191,"8,234","−12.7%","24.87","64.4","289.1/sq mi (111.6/km2)",1984-08-20
"248","Manhattan Beach","City","Los Angeles",35506,"35,135","+1.1%","3.93","10.2","9,034.6/sq mi (3,488.3/km2)",1912-12-12
"249","Manteca","City","San Joaquin",83498,"67,096","+24.4%","21.39","55.4","3,903.6/sq mi (1,507.2/km2)",1918-06-05
"250","Maricopa","City","Kern",1026,"1,154","−11.1%","1.57","4.1","653.5/sq mi (252.3/km2)",1911-07-25
"251","Marina","City","Monterey",22359,"19,718","+13.4%","8.91","23.1","2,509.4/sq mi (968.9/km2)",1975-11-13
"252","Martinez†","City","Contra Costa",37287,"35,824","+4.1%","12.63","32.7","2,952.3/sq mi (1,139.9/km2)",1876-04-01
"253","Marysville†","City","Yuba",12844,"12,072","+6.4%","3.46","9.0","3,712.1/sq mi (1,433.3/km2)",1851-02-05
"254","Maywood","City","Los Angeles",25138,"27,395","−8.2%","1.17","3.0","21,485.5/sq mi (8,295.6/km2)",1924-09-02
"255","McFarland","City","Kern",14161,"12,707","+11.4%","2.68","6.9","5,284.0/sq mi (2,040.1/km2)",1957-07-18
"256","Mendota","City","Fresno",12595,"11,014","+14.4%","3.39","8.8","3,715.3/sq mi (1,434.5/km2)",1942-06-17
"257","Menifee","City","Riverside",102527,"77,519","+32.3%","46.48","120.4","2,205.8/sq mi (851.7/km2)",2008-10-01
"258","Menlo Park","City","San Mateo",33780,"32,026","+5.5%","9.99","25.9","3,381.4/sq mi (1,305.6/km2)",1927-11-23
"259","Merced†","City","Merced",86333,"78,958","+9.3%","23.25","60.2","3,713.2/sq mi (1,433.7/km2)",1889-04-01
"260","Mill Valley","City","Marin",14231,"13,903","+2.4%","4.78","12.4","2,977.2/sq mi (1,149.5/km2)",1900-09-01
"261","Millbrae","City","San Mateo",23216,"21,532","+7.8%","3.27","8.5","7,099.7/sq mi (2,741.2/km2)",1948-01-14
"262","Milpitas","City","Santa Clara",80273,"66,790","+20.2%","13.48","34.9","5,955.0/sq mi (2,299.2/km2)",1954-01-26
"263","Mission Viejo","City","Orange",93653,"93,305","+0.4%","17.66","45.7","5,303.1/sq mi (2,047.5/km2)",1988-03-31
"264","Modesto†","City","Stanislaus",218464,"201,165","+8.6%","43.05","111.5","5,074.7/sq mi (1,959.3/km2)",1884-08-06
"265","Monrovia","City","Los Angeles",37931,"36,590","+3.7%","13.63","35.3","2,782.9/sq mi (1,074.5/km2)",1887-12-15
"266","Montague","City","Siskiyou",1226,"1,443","−15.0%","1.78","4.6","688.8/sq mi (265.9/km2)",1909-01-28
"267","Montclair","City","San Bernardino",37865,"36,664","+3.3%","5.53","14.3","6,847.2/sq mi (2,643.7/km2)",1956-04-25
"268","Monte Sereno","City","Santa Clara",3479,"3,341","+4.1%","1.63","4.2","2,134.4/sq mi (824.1/km2)",1957-05-14
"269","Montebello","City","Los Angeles",62640,"62,500","+0.2%","8.33","21.6","7,519.8/sq mi (2,903.4/km2)",1920-10-16
"270","Monterey","City","Monterey",30218,"27,810","+8.7%","8.65","22.4","3,493.4/sq mi (1,348.8/km2)",1890-06-14
"271","Monterey Park","City","Los Angeles",61096,"60,269","+1.4%","7.67","19.9","7,965.6/sq mi (3,075.5/km2)",1916-05-29
"272","Moorpark","City","Ventura",36284,"34,421","+5.4%","12.28","31.8","2,954.7/sq mi (1,140.8/km2)",1983-07-01
"273","Moraga","Town","Contra Costa",16870,"16,016","+5.3%","9.46","24.5","1,783.3/sq mi (688.5/km2)",1974-11-13
"274","Moreno Valley","City","Riverside",208634,"193,365","+7.9%","51.33","132.9","4,064.6/sq mi (1,569.3/km2)",1984-12-03
"275","Morgan Hill","City","Santa Clara",45483,"37,882","+20.1%","12.94","33.5","3,514.9/sq mi (1,357.1/km2)",1906-11-10
"276","Morro Bay","City","San Luis Obispo",10757,"10,234","+5.1%","5.33","13.8","2,018.2/sq mi (779.2/km2)",1964-07-17
"277","Mount Shasta","City","Siskiyou",3223,"3,394","−5.0%","3.77","9.8","854.9/sq mi (330.1/km2)",1905-05-31
"278","Mountain House","City","San Joaquin",24499,"9,675","+153.2%","4.558","11.81","5,374.9/sq mi (2,075.3/km2)",2024-07-01
"279","Mountain View","City","Santa Clara",82376,"74,066","+11.2%","11.96","31.0","6,887.6/sq mi (2,659.3/km2)",1902-11-07
"280","Murrieta","City","Riverside",110949,"103,466","+7.2%","33.61","87.0","3,301.1/sq mi (1,274.6/km2)",1991-07-01
"281","Napa†","City","Napa",79246,"76,915","+3.0%","18.05","46.7","4,390.4/sq mi (1,695.1/km2)",1872-03-23
"282","National City","City","San Diego",56173,"58,582","−4.1%","7.30","18.9","7,694.9/sq mi (2,971.0/km2)",1887-09-17
"283","Needles","City","San Bernardino",4931,"4,844","+1.8%","30.58","79.2","161.2/sq mi (62.3/km2)",1913-10-30
"284","Nevada City†","City","Nevada",3152,"3,068","+2.7%","2.19","5.7","1,439.3/sq mi (555.7/km2)",1856-04-19
"285","Newark","City","Alameda",47529,"42,573","+11.6%","13.92","36.1","3,414.4/sq mi (1,318.3/km2)",1955-09-22
"286","Newman","City","Stanislaus",12351,"10,224","+20.8%","2.06","5.3","5,995.6/sq mi (2,314.9/km2)",1908-06-10
"287","Newport Beach","City","Orange",85239,"85,186","+0.1%","23.79","61.6","3,583.0/sq mi (1,383.4/km2)",1906-09-01
"288","Norco","City","Riverside",26316,"27,063","−2.8%","13.86","35.9","1,898.7/sq mi (733.1/km2)",1964-12-28
"289","Norwalk","City","Los Angeles",102773,"105,549","−2.6%","9.71","25.1","10,584.2/sq mi (4,086.6/km2)",1957-08-26
"290","Novato","City","Marin",53225,"51,904","+2.5%","27.48","71.2","1,936.9/sq mi (747.8/km2)",1960-01-20
"291","Oakdale","City","Stanislaus",23181,"20,675","+12.1%","6.23","16.1","3,720.9/sq mi (1,436.6/km2)",1906-11-24
"292","Oakland†","City","Alameda",440646,"390,724","+12.8%","55.93","144.9","7,878.5/sq mi (3,041.9/km2)",1852-05-04
"293","Oakley","City","Contra Costa",43357,"35,432","+22.4%","15.87","41.1","2,732.0/sq mi (1,054.8/km2)",1999-07-01
"294","Oceanside","City","San Diego",174068,"167,086","+4.2%","41.27","106.9","4,217.8/sq mi (1,628.5/km2)",1888-07-03
"295","Ojai","City","Ventura",7637,"7,461","+2.4%","4.36","11.3","1,751.6/sq mi (676.3/km2)",1921-08-05
"296","Ontario","City","San Bernardino",175265,"163,924","+6.9%","49.97","129.4","3,507.4/sq mi (1,354.2/km2)",1891-12-10
"297","Orange","City","Orange",139911,"134,616","+3.9%","25.67","66.5","5,450.4/sq mi (2,104.4/km2)",1888-04-06
"298","Orange Cove","City","Fresno",9649,"9,078","+6.3%","1.79","4.6","5,390.5/sq mi (2,081.3/km2)",1948-01-20
"299","Orinda","City","Contra Costa",19514,"17,643","+10.6%","12.85","33.3","1,518.6/sq mi (586.3/km2)",1985-07-01
"300","Orland","City","Glenn",8298,"7,291","+13.8%","2.99","7.7","2,775.3/sq mi (1,071.5/km2)",1909-11-11
"301","Oroville†","City","Butte",20042,"15,546","+28.9%","13.83","35.8","1,449.2/sq mi (559.5/km2)",1906-01-03
"302","Oxnard","City","Ventura",202063,"197,899","+2.1%","26.53","68.7","7,616.4/sq mi (2,940.7/km2)",1903-06-30
"303","Pacific Grove","City","Monterey",15090,"15,041","+0.3%","2.87","7.4","5,257.8/sq mi (2,030.1/km2)",1889-07-05
"304","Pacifica","City","San Mateo",38640,"37,234","+3.8%","12.58","32.6","3,071.5/sq mi (1,185.9/km2)",1957-11-22
"305","Palm Desert","City","Riverside",51163,"48,445","+5.6%","26.81","69.4","1,908.4/sq mi (736.8/km2)",1973-11-26
"306","Palm Springs","City","Riverside",44575,"44,552","+0.1%","94.55","244.9","471.4/sq mi (182.0/km2)",1938-04-20
"307","Palmdale","City","Los Angeles",169450,"152,750","+10.9%","106.06","274.7","1,597.7/sq mi (616.9/km2)",1962-08-24
"308","Palo Alto","City","Santa Clara",68572,"64,403","+6.5%","24.10","62.4","2,845.3/sq mi (1,098.6/km2)",1894-04-23
"309","Palos Verdes Estates","City","Los Angeles",13347,"13,438","−0.7%","4.78","12.4","2,792.3/sq mi (1,078.1/km2)",1939-12-20
"310","Paradise","Town","Butte",4764,"26,218","−81.8%","18.32","47.4","260.0/sq mi (100.4/km2)",1979-11-27
"311","Paramount","City","Los Angeles",53733,"54,098","−0.7%","4.73","12.3","11,360.0/sq mi (4,386.1/km2)",1957-01-30
"312","Parlier","City","Fresno",14576,"14,494","+0.6%","2.41","6.2","6,048.1/sq mi (2,335.2/km2)",1921-11-15
"313","Pasadena","City","Los Angeles",138699,"137,122","+1.2%","22.96","59.5","6,040.9/sq mi (2,332.4/km2)",1886-06-19
"314","Paso Robles","City","San Luis Obispo",31490,"29,793","+5.7%","19.65","50.9","1,602.5/sq mi (618.7/km2)",1889-03-11
"315","Patterson","City","Stanislaus",23781,"20,413","+16.5%","7.79","20.2","3,052.8/sq mi (1,178.7/km2)",1919-12-22
"316","Perris","City","Riverside",78700,"68,386","+15.1%","31.53","81.7","2,496.0/sq mi (963.7/km2)",1911-05-26
"317","Petaluma","City","Sonoma",59776,"57,941","+3.2%","14.42","37.3","4,145.4/sq mi (1,600.5/km2)",1858-04-12
